País,2007.I,2007.II,2007.III,2007.IV,2008.I,2008.II,2008.III,2008.IV,2009.I,2009.II,2009.III,2009.IV,2010.I,2010.II,2010.III,2010.IV,2011.I,2011.II,2011.III,2011.IV,2012.I,2012.II,2012.III,2012.IV,2013.I,2013.II,2013.III,2013.IV,2014.I,2014.II,2014.III,2014.IV,2015.I,2015.II,2015.III,2015.IV,2016.I,2016.II,2016.III,2016.IV,2017.I,2017.II,2017.III,2017.IV,2018.I,2018.II,2018.III,2018.IV,2019.I,2019.II
GUATEMALA,189.6,244.9,175.2,858.4,99.0,99.0,103.7,364.7,725.2,943.0,"1,272.1",750.0,847.6,963.2,"1,156.8","1,072.8","1,487.8",599.5,520.7,"1,630.9","1,892.6","1,408.7",585.4,741.3,656.6,229.6,453.5,494.6,268.0,469.2,731.9,596.7,513.9,467.0,284.6,267.3,263.7,299.9,233.8,258.5,193.0,220.9,250.9,351.6,217.2,268.8,290.3,525.4,329.2,281.7
AUSTRIA,137.0,163.0,181.7,84.3,67.8,240.1,168.3,191.4,147.3,166.0,173.4,167.4,146.1,155.8,161.1,173.0,163.4,172.7,157.4,161.3,137.6,198.8,135.6,164.7,112.5,186.8,187.8,160.7,114.8,95.2,147.2,196.2,179.7,423.5,247.5,219.1,237.2,261.2,298.0,213.0,186.5,218.7,251.4,263.4,225.3,215.6,249.9,,260.8,267.2
PORTUGAL,160.4,313.6,371.9,191.0,209.9,193.3,278.9,360.5,164.4,230.8,338.1,181.6,138.3,82.4,168.3,135.4,98.5,121.3,228.7,168.7,110.2,114.6,176.9,215.4,197.4,161.5,179.4,147.5,162.8,138.2,"1,059.7",123.3,86.2,136.4,162.5,99.3,97.7,110.4,170.0,107.3,75.8,159.0,198.1,176.2,144.7,179.4,259.3,218.4,167.5,243.6
HONDURAS,70.7,65.1,58.3,87.1,96.8,127.6,79.4,159.8,186.0,163.7,67.0,77.5,52.6,59.5,61.9,58.9,53.5,118.9,110.6,192.9,166.7,114.9,120.4,326.8,101.3,91.7,90.1,70.6,67.5,43.5,62.4,96.3,184.7,158.7,169.2,105.5,287.1,140.4,157.8,154.7,154.3,166.5,168.0,191.0,183.3,210.8,272.4,271.0,246.1,206.9
EMIRATOS ÁRABES UNIDOS,24.0,175.9,102.3,119.8,29.9,76.1,80.2,142.0,154.8,114.8,60.2,179.1,312.9,183.5,181.1,211.9,128.9,188.7,187.5,202.9,174.3,145.9,83.6,133.6,146.0,279.2,221.5,236.0,134.9,133.1,1.1,135.7,114.4,100.7,89.5,155.3,146.5,161.1,142.4,129.1,128.4,184.6,117.1,174.9,165.6,173.2,149.8,202.5,190.5,192.2
NORUEGA,54.8,81.6,94.8,66.5,96.6,120.4,98.2,85.3,72.8,143.7,154.6,133.1,115.2,122.1,165.3,133.5,111.8,202.7,295.3,166.0,111.1,225.1,311.0,194.5,136.6,229.3,368.1,221.6,199.3,260.5,222.7,215.5,132.1,206.2,265.9,157.2,170.6,202.6,264.0,159.6,94.4,157.5,274.7,93.1,139.2,192.8,275.2,178.4,115.4,190.5
BAHAMAS,46.2,10.9,1.9,10.3,2.7,13.1,12.1,5.0,15.2,20.7,19.6,22.5,20.4,25.8,50.2,47.8,26.4,106.0,67.7,82.4,59.7,66.0,53.5,75.4,48.7,27.2,24.3,26.2,29.4,21.6,24.3,45.1,63.1,51.9,71.7,41.2,47.6,115.2,60.6,51.0,45.8,94.0,75.9,134.1,195.0,198.8,247.9,221.2,188.0,177.3
CURAZAO,19.4,16.3,18.4,22.6,21.2,55.7,43.9,33.9,37.7,56.3,50.4,50.5,40.1,35.9,35.1,60.4,27.4,49.7,57.7,139.6,110.4,133.0,135.7,133.4,41.4,117.2,117.7,141.7,146.8,78.9,126.0,100.9,124.3,116.2,121.2,135.7,119.0,137.8,148.4,142.4,130.8,107.2,111.2,118.6,119.6,146.5,150.7,129.5,125.1,175.3
EL SALVADOR,18.8,23.1,16.1,44.2,48.2,21.6,34.7,29.5,22.3,23.7,20.1,17.7,20.0,21.5,31.6,31.0,18.8,23.0,38.9,18.9,47.0,101.9,182.4,29.3,16.5,24.8,36.7,21.9,27.0,50.2,32.7,33.8,57.6,117.4,93.6,98.9,69.4,80.8,92.2,84.4,56.2,72.9,78.6,91.8,80.9,103.0,110.3,117.3,158.1,160.0
HAITÍ,56.7,68.1,48.5,23.2,53.7,57.1,40.2,72.9,42.8,59.5,75.5,68.7,52.3,85.7,138.1,150.3,158.6,231.0,277.5,337.5,221.1,279.5,253.7,414.6,301.1,801.7,875.0,"1,094.4","1,456.4","1,150.8",984.6,"1,120.8","1,402.6","1,393.8",962.1,411.1,316.4,422.6,371.9,173.3,172.4,232.8,157.8,223.3,261.0,202.4,156.8,151.2,187.3,157.9
CAMERÚN,24.4,18.2,40.8,65.4,32.5,40.7,13.8,29.9,10.9,18.1,27.7,27.0,32.3,34.5,23.2,29.7,24.1,36.3,76.6,44.2,65.6,32.1,55.9,61.6,52.7,10.3,10.1,6.8,14.4,25.6,2.0,26.5,20.9,33.4,40.1,25.3,19.2,28.2,26.8,38.3,34.3,33.7,44.8,83.3,94.7,76.7,88.1,119.9,110.9,156.2
TURQUÍA,21.8,89.0,37.8,22.5,27.9,76.2,52.6,43.6,84.6,81.1,207.6,81.0,42.4,168.6,62.5,62.8,79.7,160.2,148.3,64.4,53.8,185.7,172.1,118.2,57.5,132.3,167.7,114.8,148.4,229.0,"1,175.9",161.7,171.7,175.0,94.4,155.0,99.7,110.3,150.5,222.0,110.4,112.1,143.4,272.2,366.9,402.4,501.6,344.4,255.7,152.7
DINAMARCA,64.2,99.6,223.8,68.3,74.5,145.2,125.9,89.4,48.2,60.0,122.9,84.8,69.1,102.1,134.9,71.1,55.6,137.9,114.4,126.9,48.4,139.6,109.0,123.0,63.0,130.0,151.7,146.4,121.0,126.8,118.7,"1,048.3",74.5,98.9,678.5,135.4,81.3,95.1,77.8,83.1,100.5,111.6,123.9,125.8,100.6,140.2,124.7,143.5,101.3,132.0
